1,@SenJohnWhelan Best of luck! Looking forward to seeing you in the 32nd Dáil. #Laois #GE16,,,
2,"@CraigFitzsimon1 It cuts through the waffle of the anti-socialist side, in my view. @Populistwatch1r #ge16 @labour @PopulistwatchIr",,,
3,John FitzGerald: Tax cut promises may be short-sighted  #ge16,,,
4,.@FineGael #GE16 candidate and @yfg  @hopkins_maura addressing #fgaf16 regarding the importance of young farmers,,,
5,I just asked some people I know from #Crumlin @EricByrneTD @labour. They're furious with that claim. You're not a workers party #GE16,,,
6,#VoteTommy1 for him to continue protecting our beautiful bay #DBN #DublinBayBiosphere #SustainablePlanning #ge16,,,
7,FULL HOUSE Great night tonight @SorchaNicC #GE16 launch. Thanks to @FerrisMartin @DublinSinnFein @sinnfeinireland,,,
8,What has become of the movement seeking university status for Thurles College?  #ge16,,,
9,EU commission tells us what we already knew. #budget16 was set up to buy votes  #ge16,,,
10,#ge2016 #ge16 Louth - not sure how Peter Fitzpatrick is so high up. Says he'll be Louth GAA manager next year.,,,
11,Ruairí Quinn in 2011 pledging not to re-introduce third-level fees. #GE16 #LaboursWay,,,
12,Off out for a leaflet drop on Kylemore Drive & Avenue! #SinnFéin #GE16 #DSC #Right2Change,,,
13,"We're fighting to win this election. SF wants to lead the next Government"" says @GerryAdamsSF at Louth #GE16 launch
14,Fine Gael getting back in - is a CRISIS for planning a society. off we go on a SPRINT to the bottom #ge16
15,""For those that missed it yesterday, here again is mine & the @SocDems view on coalition post #ge16",,,
16,Nature doesn't recognise borders #VoteGreen2016 @EamonRyan #GE16,,,
17,Enda had a torturous conversation about the election date in Davos   even sits in the wrong seat #gobshite #ge16,,,
18,Genius Enda makes Michael Lowry a #GE16 issue #twip  Cool,,,
19,"#Right2Water Ireland on the article ""Poll: Are water charges an election issue for you?"" from TheJournal.ie:",,,
20,"Kenny wants to abolish USC, attract emigrants home #ireland",,,
21,I will not be engaging in personal attacks online or offline in #ge16 (not my style) no need for others to do so on my behalf either thanks!,,,
22,"Argue away, GE2016 is 'round the corner.  ",,,
23,"Shouldn't have happened. Gov / Irish Rail needs to hold strong in face of Unions, election or not.",,,
24,"Just past 1,500 followers.  Thanks everyone. (@higginsdavidw).  #ge16 #vinb #cblive",,,
